Time,RegimeID,DistMult,LotMult
1638980100,1,2.5,1.1
1638981000,1,2.5,1.1
1638981900,1,2.5,1.1
1638982800,1,2.5,1.1
1638983700,1,2.5,1.1
1638984600,1,2.5,1.1
1638985500,1,2.5,1.1
1638986400,1,2.5,1.1
1638987300,1,2.5,1.1
1638988200,1,2.5,1.1
1638989100,1,2.5,1.1
1638990000,1,2.5,1.1
1638990900,1,2.5,1.1
1638991800,1,2.5,1.1
1638992700,1,2.5,1.1
1638993600,1,2.5,1.1
1638994500,1,2.5,1.1
1638995400,0,2.0,1.2
1638996300,1,2.5,1.1
1638997200,1,2.5,1.1
1638998100,1,2.5,1.1
1638999000,1,2.5,1.1
1638999900,1,2.5,1.1
1639000800,1,2.5,1.1
1639001700,1,2.5,1.1
1639002600,1,2.5,1.1
1639003500,1,2.5,1.1
1639004400,1,2.5,1.1
1639005300,1,2.5,1.1
1639006200,1,2.5,1.1
1639007100,1,2.5,1.1
1639008000,1,2.5,1.1
1639008900,1,2.5,1.1
1639009800,1,2.5,1.1
1639010700,1,2.5,1.1
1639011600,1,2.5,1.1
1639012500,1,2.5,1.1
1639013400,1,2.5,1.1
1639014300,1,2.5,1.1
1639015200,1,2.5,1.1
1639016100,1,2.5,1.1
1639017000,1,2.5,1.1
1639017900,1,2.5,1.1
1639018800,1,2.5,1.1
1639019700,1,2.5,1.1
1639020600,1,2.5,1.1
1639021500,1,2.5,1.1
1639022400,0,2.0,1.2
1639023300,3,1.2,1.5
1639024200,3,1.2,1.5
1639025100,3,1.2,1.5
1639026000,0,2.0,1.2
1639026900,1,2.5,1.1
1639027800,0,2.0,1.2
1639028700,1,2.5,1.1
1639029600,1,2.5,1.1
1639030500,1,2.5,1.1
1639031400,1,2.5,1.1
1639032300,1,2.5,1.1
1639033200,1,2.5,1.1
1639034100,1,2.5,1.1
1639035000,1,2.5,1.1
1639035900,1,2.5,1.1
1639036800,1,2.5,1.1
1639037700,1,2.5,1.1
1639038600,1,2.5,1.1
1639039500,1,2.5,1.1
1639040400,1,2.5,1.1
1639041300,1,2.5,1.1
1639042200,1,2.5,1.1
1639043100,1,2.5,1.1
1639044000,1,2.5,1.1
1639044900,1,2.5,1.1
1639045800,1,2.5,1.1
1639046700,1,2.5,1.1
1639047600,1,2.5,1.1
1639048500,1,2.5,1.1
1639049400,1,2.5,1.1
1639050300,1,2.5,1.1
1639051200,1,2.5,1.1
1639052100,1,2.5,1.1
1639053000,1,2.5,1.1
1639053900,1,2.5,1.1
1639054800,1,2.5,1.1
1639055700,1,2.5,1.1
1639056600,1,2.5,1.1
1639057500,1,2.5,1.1
1639058400,1,2.5,1.1
1639059300,1,2.5,1.1
1639060200,1,2.5,1.1
1639061100,1,2.5,1.1
1639062000,1,2.5,1.1
1639062900,1,2.5,1.1
1639063800,1,2.5,1.1
1639064700,1,2.5,1.1
1639065600,1,2.5,1.1
1639066500,1,2.5,1.1
1639067400,1,2.5,1.1
1639068300,1,2.5,1.1
1639069200,1,2.5,1.1
1639070100,1,2.5,1.1
1639071000,1,2.5,1.1
1639071900,1,2.5,1.1
1639072800,1,2.5,1.1
1639073700,1,2.5,1.1
1639074600,1,2.5,1.1
1639075500,1,2.5,1.1
1639076400,1,2.5,1.1
1639077300,1,2.5,1.1
1639078200,1,2.5,1.1
1639079100,1,2.5,1.1
1639080000,1,2.5,1.1
1639080900,1,2.5,1.1
1639081800,1,2.5,1.1
1639082700,1,2.5,1.1
1639083600,1,2.5,1.1
1639084500,1,2.5,1.1
1639085400,1,2.5,1.1
1639086300,1,2.5,1.1
1639087200,1,2.5,1.1
1639088100,1,2.5,1.1
1639089000,1,2.5,1.1
1639089900,1,2.5,1.1
1639090800,1,2.5,1.1
1639091700,1,2.5,1.1
1639092600,1,2.5,1.1
1639093500,1,2.5,1.1
1639094400,1,2.5,1.1
1639095300,1,2.5,1.1
1639096200,1,2.5,1.1
1639097100,1,2.5,1.1
1639098000,1,2.5,1.1
1639098900,1,2.5,1.1
1639099800,1,2.5,1.1
1639100700,1,2.5,1.1
1639101600,1,2.5,1.1
1639102500,1,2.5,1.1
1639103400,1,2.5,1.1
1639104300,1,2.5,1.1
1639105200,1,2.5,1.1
1639106100,1,2.5,1.1
1639107000,1,2.5,1.1
1639107900,1,2.5,1.1
1639108800,1,2.5,1.1
1639109700,1,2.5,1.1
1639110600,1,2.5,1.1
1639111500,1,2.5,1.1
1639112400,1,2.5,1.1
1639113300,1,2.5,1.1
1639114200,1,2.5,1.1
1639115100,1,2.5,1.1
1639116000,1,2.5,1.1
1639116900,1,2.5,1.1
1639117800,1,2.5,1.1
1639118700,1,2.5,1.1
1639119600,1,2.5,1.1
1639120500,1,2.5,1.1
1639121400,1,2.5,1.1
1639122300,1,2.5,1.1
1639123200,1,2.5,1.1
1639124100,1,2.5,1.1
1639125000,1,2.5,1.1
1639125900,1,2.5,1.1
1639126800,1,2.5,1.1
1639127700,1,2.5,1.1
1639128600,1,2.5,1.1
1639129500,1,2.5,1.1
1639130400,1,2.5,1.1
1639131300,1,2.5,1.1
1639132200,1,2.5,1.1
1639133100,1,2.5,1.1
1639134000,1,2.5,1.1
1639134900,1,2.5,1.1
1639135800,1,2.5,1.1
1639136700,1,2.5,1.1
1639137600,1,2.5,1.1
1639138500,1,2.5,1.1
1639139400,1,2.5,1.1
1639140300,1,2.5,1.1
1639141200,1,2.5,1.1
1639142100,1,2.5,1.1
1639143000,1,2.5,1.1
1639143900,1,2.5,1.1
1639144800,1,2.5,1.1
1639145700,1,2.5,1.1
1639146600,1,2.5,1.1
1639147500,1,2.5,1.1
1639148400,1,2.5,1.1
1639149300,1,2.5,1.1
1639150200,1,2.5,1.1
1639151100,1,2.5,1.1
1639152000,1,2.5,1.1
1639152900,1,2.5,1.1
1639153800,1,2.5,1.1
1639154700,1,2.5,1.1
1639155600,2,1.5,1.3
1639156500,2,1.5,1.3
1639157400,2,1.5,1.3
1639158300,1,2.5,1.1
1639159200,1,2.5,1.1
1639160100,1,2.5,1.1
1639161000,1,2.5,1.1
1639161900,1,2.5,1.1
1639162800,1,2.5,1.1
1639163700,1,2.5,1.1
1639164600,1,2.5,1.1
1639165500,1,2.5,1.1
1639166400,1,2.5,1.1
1639167300,1,2.5,1.1
1639168200,1,2.5,1.1
1639169100,1,2.5,1.1
1639170000,1,2.5,1.1
1639170900,1,2.5,1.1
1639171800,1,2.5,1.1
1639172700,1,2.5,1.1
1639173600,1,2.5,1.1
1639174500,1,2.5,1.1
1639175400,1,2.5,1.1
1639176300,1,2.5,1.1
1639177200,1,2.5,1.1
1639178100,1,2.5,1.1
1639179000,1,2.5,1.1
1639179900,1,2.5,1.1
1639353600,1,2.5,1.1
1639354500,1,2.5,1.1
1639355400,1,2.5,1.1
1639356300,1,2.5,1.1
1639357200,1,2.5,1.1
1639358100,1,2.5,1.1
1639359000,1,2.5,1.1
1639359900,1,2.5,1.1
1639360800,1,2.5,1.1
1639361700,1,2.5,1.1
1639362600,1,2.5,1.1
1639363500,1,2.5,1.1
1639364400,1,2.5,1.1
1639365300,1,2.5,1.1
1639366200,1,2.5,1.1
1639367100,1,2.5,1.1
1639368000,1,2.5,1.1
1639368900,1,2.5,1.1
1639369800,1,2.5,1.1
1639370700,1,2.5,1.1
1639371600,1,2.5,1.1
1639372500,1,2.5,1.1
1639373400,1,2.5,1.1
1639374300,1,2.5,1.1
1639375200,1,2.5,1.1
1639376100,1,2.5,1.1
1639377000,1,2.5,1.1
1639377900,1,2.5,1.1
1639378800,1,2.5,1.1
1639379700,1,2.5,1.1
1639380600,1,2.5,1.1
1639381500,1,2.5,1.1
1639382400,1,2.5,1.1
1639383300,1,2.5,1.1
1639384200,1,2.5,1.1
1639385100,1,2.5,1.1
1639386000,1,2.5,1.1
1639386900,1,2.5,1.1
1639387800,1,2.5,1.1
1639388700,1,2.5,1.1
1639389600,1,2.5,1.1
1639390500,1,2.5,1.1
1639391400,1,2.5,1.1
1639392300,1,2.5,1.1
1639393200,1,2.5,1.1
1639394100,1,2.5,1.1
1639395000,1,2.5,1.1
1639395900,1,2.5,1.1
1639396800,1,2.5,1.1
1639397700,1,2.5,1.1
1639398600,1,2.5,1.1
1639399500,1,2.5,1.1
1639400400,1,2.5,1.1
1639401300,1,2.5,1.1
1639402200,1,2.5,1.1
1639403100,1,2.5,1.1
1639404000,1,2.5,1.1
1639404900,1,2.5,1.1
1639405800,1,2.5,1.1
1639406700,1,2.5,1.1
1639407600,1,2.5,1.1
1639408500,1,2.5,1.1
1639409400,1,2.5,1.1
1639410300,1,2.5,1.1
